,background,media,lumen
precision,0.9835582681563555(0.001415358421087963),0.7452758772876384(0.018613449192518672),0.9665167648711055(0.008641184327041883)
recall,0.9930572224960874(0.001221823959360494),0.7643930143694349(0.014499934481004452),0.8465756010129937(0.025664393685722618)
f1-score,0.9882832290776555(0.0002835819069611298),0.7545189816819444(0.011736987974248587),0.9022437627949248(0.011500412442996516)
support,30795773,2353746,2903473
specificity,0.8927079844250825(0.01003851739462548),0.9816825053901026(0.0018625028660142979),0.9973521037066952(0.0007772594781871272)
accuracy,0.9796104065032036(0.0004952344461548081),0.967479817923236(0.0017884900936054908),0.9849750421152569(0.0014939753308364032)
jaccard_score,0.976837999190691(0.0005542589091729117),0.6059475082573857(0.015092780854787359),0.8220966477002687(0.018952994375001468)
hausdorff_dist,10.396895209699318(6.961423756264072),14.089487640876342(9.411162420200409),10.631398463235572(9.949029232384062)
