,background,media,lumen
precision,0.9426392764938747(0.007576365740384001),0.7016016899611202(0.030209798332325035),0.9020594496027183(0.015316522837468679)
recall,0.9808750280069045(0.006235170090026016),0.543098786620647(0.05504816874758599),0.8512079119444905(0.03046939656983251)
f1-score,0.9613286881376496(0.0014949066531888126),0.6093827337159305(0.028412184408284868),0.8753333407842625(0.011473871149962352)
support,8774622,1267864,1360778
specificity,0.7788075273880647(0.03178121526461693),0.9703812286416108(0.006830040086601294),0.9865512198886538(0.002746026137598699)
accuracy,0.9378639349344386(0.002722922922454104),0.9225724805695756(0.0027597900052844654),0.9694655934914695(0.002178732075461338)
jaccard_score,0.9255409493837601(0.0027720408542560664),0.4388032659100185(0.029031851066736825),0.7784871662784262(0.01788595793741589)
hausdorff_dist,27.067337258273135(12.119213906063463),42.90992348101996(27.320373984795744),25.193140755979698(20.698101506559276)
