,background,media,lumen
precision,0.9154133345881481(0.021456036262649733),0.237857507825444(0.29153471853467505),0.809607485268925(0.10102553976234963)
recall,0.9874239596873803(0.006343226040487599),0.21986632635677011(0.2692850193549584),0.8475207565084093(0.08386397384448124)
f1-score,0.9498462814986217(0.008602051848310872),0.22847138026118188(0.27988563587306897),0.8178522547092217(0.012402731580714487)
support,8774622,1267864,1360778
specificity,0.6390921933740047(0.10138854880105613),0.9811371396059737(0.023196731060466044),0.9663496123905011(0.021154165775971352)
accuracy,0.9166823246371335(0.015490912974643563),0.8953324463915402(0.010426001655869634),0.9512231831715899(0.008207197114568954)
jaccard_score,0.9046112856413637(0.01565028505931937),0.15992748485310151(0.1959615192801791),0.6920247042333503(0.017995429469850496)
hausdorff_dist,29.299175045292817(11.453742913247272),31.35152443072003(13.671169715397683),24.549329480451252(14.845854221885935)
