,background,media,lumen
precision,0.9714073042915594(0.001472796057372984),0.710223545860299(0.010259073131897643),0.9658474644104246(0.0035633184615240887)
recall,0.9950223558278598(0.0006735937640880524),0.6214570306226755(0.014629970963072727),0.8146397779486841(0.008287876702189802)
f1-score,0.9830726238920103(0.0009709318355469495),0.6628375157341002(0.012043661154245754),0.883783473929024(0.00370404983236204)
support,30795773,2353746,2903473
specificity,0.8093147804981887(0.009792862175843813),0.9822426115052265(0.0006505248164704725),0.9973983404189026(0.0003018392727092741)
accuracy,0.9702957703172853(0.0017093225764101465),0.958626118081647(0.001307360687193526),0.9822771332578464(0.0004693788432814798)
jaccard_score,0.9667105726491931(0.001876762924573982),0.49582535312164977(0.013413746395031003),0.7917868338254584(0.005959760226832909)
hausdorff_dist,13.717477824679468(8.399211454039744),14.321853244966695(8.634054193585767),9.229151971353751(7.591409773942837)
