,background,media,lumen
precision,0.9444571740136437(0.004114663198433323),0.5801165617865424(0.016606715332198707),0.8932869331610627(0.011034107091603032)
recall,0.972643607895588(0.0019833630170543698),0.5438108503751191(0.024609420978843357),0.7719926395047538(0.030163407153413632)
f1-score,0.9583341186488349(0.001428954966313492),0.560899179558326(0.013654626093295059),0.8276839105708987(0.013426343134240404)
support,8774622,1267864,1360778
specificity,0.7759971954502701(0.018505747852885026),0.9503916610688247(0.004382130568485546),0.9865040169086197(0.002028557204092724)
accuracy,0.9326290517685341(0.0025350622112632927),0.9049847865119137(0.002952599635237813),0.9592474543334024(0.0022365068391436162)
jaccard_score,0.9200050578997592(0.0026318796109156355),0.3898814379217682(0.013147194163565171),0.7062454453928663(0.019290257360851378)
hausdorff_dist,25.970506465783128(10.122101157454974),32.5992437182322(14.262308611523345),23.563793056491253(13.820626822122499)
