,background,media,lumen
precision,0.9467232235445463(0.006313353430962695),0.7348833935594946(0.03765283049931206),0.8881230636579851(0.03662449491486838)
recall,0.9779558595230654(0.007221600718154368),0.5553089290333979(0.06097563840238317),0.8934987191150945(0.030036085186494917)
f1-score,0.9620399403880203(0.0011493536087460842),0.6287971630392668(0.028784841269131792),0.8895952392018123(0.006777008983911824)
support,8774622,1267864,1360778
specificity,0.79885922285726(0.025426522717736332),0.9740372742104109(0.00739893497930172),0.9833403465861226(0.006530369552185477)
accuracy,0.9394207448900277(0.0018264710723476891),0.927160506323566(0.002210277663197559),0.972026321779681(0.0024445190944303577)
jaccard_score,0.9268587758378457(0.0021314879367734553),0.4592122635448237(0.030435479092150632),0.8012119785410231(0.010971892892932331)
hausdorff_dist,26.90291196730692(11.750959612613137),35.91634381672344(17.65949110674645),26.135037950900173(21.840751177435795)
