,background,media,lumen
precision,0.9343298586541774(0.00976216168125094),0.6802384187404175(0.02810706097778492),0.912612769066184(0.009312823526716066)
recall,0.9855508989447067(0.004519892835372455),0.4898137339651571(0.06748763045940351),0.8255652281268511(0.02122549707361888)
f1-score,0.9592041607106194(0.003151058270651233),0.5666271795551838(0.04290050399210506),0.8667073797734602(0.011326941957491904)
support,8774622,1267864,1360778
specificity,0.7411927949476959(0.04174377785232822),0.9708017903237544(0.00570465032731549),0.9885031723343596(0.0014912874334913737)
accuracy,0.9338597268404902(0.005580989389532001),0.9169810269103502(0.004643745915280788),0.9678466747088633(0.002453376974815566)
jaccard_score,0.9216240635315595(0.005817119927771273),0.3965745641805574(0.04226100788856498),0.7649432584083177(0.017407395790486592)
hausdorff_dist,28.010470785310865(12.113247614267484),32.11528467273982(15.155606171805198),21.506887332849978(16.26182341253197)
