,background,media,lumen
precision,0.9842447611313705(0.004405001071518306),0.727173848058902(0.043042784135538845),0.9469584573855843(0.01706276614318597)
recall,0.9892519729899295(0.003153152866825987),0.7496134247280718(0.061816316750705674),0.8650912889494753(0.040864264500602134)
f1-score,0.9867276341601089(0.0007298765129656227),0.7348320521546027(0.020839251784519452),0.903242810628624(0.015682031713486037)
support,30795773,2353746,2903473
specificity,0.897510119719572(0.028896190486798853),0.9798076797632407(0.00550769277909339),0.9955633550040256(0.0016932417697614929)
accuracy,0.976948519965875(0.0013508626137074863),0.9647593151211652(0.002688940895391407),0.9848230956879599(0.002009487409036639)
jaccard_score,0.9738039890266583(0.0014217000943896327),0.5812497038765658(0.026223835825184498),0.8239269571767791(0.025828195798780092)
hausdorff_dist,11.435250741632235(7.6638522609745285),22.572771960471417(19.622944365478325),10.414329028628638(10.283677397804407)
