,background,media,lumen
precision,0.9609181994097197(0.0185565836975074),0.2956803687282021(0.3621389555450027),0.8374283904157224(0.08748597871590304)
recall,0.9933382091107112(0.0024605196257878764),0.2977570222105529(0.3648195290291124),0.9249587648998286(0.04583604363621728)
f1-score,0.9767442156854337(0.008379183664091258),0.2966643647150812(0.36336050779724366),0.8739042952138313(0.02613743959895877)
support,30795773,2353746,2903473
specificity,0.7258195397168029(0.13729975392552524),0.9926472872877407(0.009016114111112913),0.9819233086811561(0.011035241987653986)
accuracy,0.9586805465606666(0.015309468469791337),0.9469913147232185(0.01560944767206107),0.9772241604438229(0.006445574230842624)
jaccard_score,0.9546770179272274(0.01605945337847651),0.23577498425303006(0.288809065824861),0.77701479515026(0.04165536719129431)
hausdorff_dist,14.81595830191108(7.9427049296900165),11.755474021609135(7.643918165705385),14.55798902713098(15.300016923458685)
