,background,media,lumen
precision,0.8903311526056543(0.022908538451633927),0.11734307073158512(0.23468614146317027),0.8492124129360636(0.04104313130281977)
recall,0.9944204320140514(0.00549926374633178),0.09976211959642359(0.19952423919284717),0.8568996559321211(0.05106816281860385)
f1-score,0.9392769362342509(0.010018978994941285),0.10784075165084386(0.21568150330168773),0.8505882545256147(0.01094547871534063)
support,8774622,1267864,1360778
specificity,0.5467751173705796(0.09574524891630798),0.9911819643992315(0.017636071201537047),0.9763247021208583(0.007806401822051923)
accuracy,0.898628751308561(0.01748075122492677),0.8905719570798878(0.007189123315512211),0.9608342759985451(0.0019497609289580676)
jaccard_score,0.8856768920124409(0.018062768504247432),0.07382326745444294(0.1476465349088859),0.7401782342883064(0.016564995387787638)
hausdorff_dist,33.10907840897213(11.230160867745049),30.21123549317554(11.62808171878099),21.58637821877638(12.45620371654704)
