,background,media,lumen
precision,0.9929349325128748,0.551863898112463,0.9580243805782848
recall,0.9630527865916447,0.8686383679973508,0.8295876876060241
f1-score,0.9777656007968146,0.6749305048641264,0.8891920620802051
support,29317123,2186369,2780028
specificity,0.9544079149678815,0.9519300808202924,0.9966577859804228
accuracy,0.9619232404933088,0.9466160192095535,0.9825892984523195
jaccard_score,0.9564984328046156,0.5093547978741436,0.8004912746170963
hausdorff_dist,12.809692182992668(7.1400702644496175),31.207065136000793(18.157605995556708),9.907717404022(6.578764822877298)
