,background,media,lumen
precision,0.9818373462857949(0.009779256704038826),0.6305718142750762(0.06988518635598352),0.9328955122897764(0.04163802134402213)
recall,0.9771973142209379(0.015223874109417721),0.75075971472688(0.09666279366782653),0.8237494660960115(0.04456722935304538)
f1-score,0.9793564538115505(0.003389710880463978),0.6759462820094255(0.01648375049330714),0.8742159759194854(0.0349718292584808)
support,28697362,2245649,2787549
specificity,0.8875673185458653(0.057586794818061005),0.9670154928874372(0.012083428219363614),0.994346317133143(0.0035043760568390083)
accuracy,0.964462947636223(0.00573959819219458),0.9524826103349089(0.005165381474245686),0.9792752430375906(0.005786747963176647)
jaccard_score,0.9595696679375922(0.00653003860500861),0.5107460597367793(0.0187439886754265),0.7782217288792009(0.05416520757573356)
hausdorff_dist,12.944573033181799(6.61401034273149),45.04278939870031(17.270955995501204),30.108769224873(26.218975825896955)
