,background,media,lumen
precision,0.9885885453443982,0.5895864782837078,0.9264460303279569
recall,0.9650961298472666,0.7966951892207504,0.9034954958272957
f1-score,0.9767010933119165,0.6776699452771546,0.9148268439888638
support,28979709,2144268,2606583
specificity,0.9263960698608319,0.9622633174893134,0.993739014184134
accuracy,0.960008709486912,0.9517149684655496,0.986494586664386
jaccard_score,0.9544631455466113,0.512481693096805,0.8430238427124119
hausdorff_dist,14.095713224808962(7.0940939682523085),28.470024216243896(14.842149949234356),12.276895923980163(13.305621936070445)
