,background,media,lumen
precision,0.9670001766751116,0.6979463818614339,0.9392624949605257
recall,0.9938207967597085,0.6053651180003193,0.7915406479754931
f1-score,0.9802270570031557,0.648367476015151,0.8590976355854881
support,28362880,2336053,3031627
specificity,0.7985803698727174,0.9803836888472882,0.9947852870315143
accuracy,0.9656838570066458,0.9542601083799827,0.9759933227983665
jaccard_score,0.961220891115748,0.47969212379090304,0.7529983830179544
hausdorff_dist,17.97052952014499(10.497773009762813),19.70244359956956(10.134211404739116),13.21806638612084(10.025197201830977)
