,background,media,lumen
precision,0.9868414417915843,0.5838030831160279,0.858560639980896
recall,0.9663608801394358,0.810120370547668,0.7738690871442977
f1-score,0.9764937851445626,0.6785892995454738,0.8140179361841345
support,28697362,2245649,2787549
specificity,0.9149194599540796,0.9584125752200704,0.988117116902937
accuracy,0.9595947897299885,0.9484516346962639,0.9698500467055604
jaccard_score,0.954067274796651,0.513533982517365,0.6863661441599325
hausdorff_dist,12.944573033181799(6.61401034273149),45.04278939870031(17.270955995501204),30.108769224873(26.218975825896955)
