,background,media,lumen
precision,0.9738216351050052,0.7296592300017486,0.9821840156012182
recall,0.9976559777666346,0.6729795278683113,0.8202544119269466
f1-score,0.9855947328013025,0.700174184345222,0.8939454017587353
support,26473725,2108183,2936812
specificity,0.8435327780738163,0.9820878020602217,0.9984323815667072
accuracy,0.9751041414642598,0.9613703209231943,0.9814489605673206
jaccard_score,0.9715985954243359,0.5386677014046797,0.8082289998886096
hausdorff_dist,12.379674024572076(8.330725117710694),15.284366392846486(8.790602577572669),9.2519225579933(4.661356537572339)
